,input,pred,output
55,chhetri,छेतरी,छेत्री
56,damaae,दमाए,दमाए
57,khatakati,खटकती,खटकती
58,dhtuen,ध्यूटन,धातुएं
59,chadhen,छादें,चढ़ें
60,mobile,मोबिले,मोबाइल
61,davangere,दांवरेग,दावणगेरे
62,beard,बीर्ड,बियर्ड
63,control,कॉन्टरॉल,कंट्रोल
64,idukki,इदुक्की,इड्डुक्कि
65,aditya,अदित्या,आदित्या
66,lehna,लेहना,लहना
67,taiboo,तैबू,टैबू
68,vlad,व्लाड,व्लाद
69,sipahi,सिपाही,सिपाही
70,supachy,सुपचच,सुपाच्य
71,atta,अत्ता,आटा
72,gopaalak,गोपालक,गोपालक
73,chhatenee,छतीनी,छतेनी
74,vigyaanvaadiyon,विज्ञानिवायों,विज्ञानवादियों
75,pushpit,पुष्टि,पुष्पित
76,potter,पोट्र,पॉटर
77,bawara,बावरा,बावरा
78,khatakhataaegee,खटेतीया,खटखटाएगी
79,tyohar,तोयाहर,त्यौहार
80,wankshetra,वांक्षेत्र,वनक्षेत्र
81,bhadkaya,भदकाया,भड़काया
82,world,वॉर्ड,वर्ल्ड
83,dastaanen,दस्तानें,दस्तानें
84,andhapan,अंधापन,अंधापन
85,tyler,ट्लेर,टाइलर
86,rajnandgaon,राजनदानोग,राजनंदगांव
87,mangla,मंगला,मंगला
88,siddhalingaa,सिद्धलिंगा,सिद्दालिंगा
89,roadrej,र्यूडरर,रोडरेज
90,balot,बालोट,बेलोट
91,suneeti,सुनीती,सुनीति
92,ardhawishwaas,अर्धववविसास,अर्धविश्वास
93,avshisht,अवशिष्त,अवशिष्ट
94,kumari,कुमारी,कुमारी
95,kaarwaai,कारवाई,कार्वाई
96,koriyaah,कोरिया,कोरियाः
97,parmeshvarpur,पर्मेश्रवरु,परमेश्वरपुर
98,aapka,आपका,आपका
99,bhopal,भोपल,भोपाल
100,mad,माद,मैड
101,baramula,बरमाुला,बारामुला
102,gudna,गुड़ाा,गुदना
103,samadjiyon,समादजियों,समाधियों
104,deerfield,डीरफफियड,डियरफील्ड
105,purooshottamapur,पुरोष्ट्पोपुमम,पुरूषोत्तमपुर
106,placentia,प्लेस्टियाा,प्लेसेंटिया
107,adhikaariyaan,अधिकारियाँ,अधिकारियां
108,apaardarshi,अपरादशशी,अपारदर्शी
109,mega,मेगा,मेगा
110,castaneda,कस्टेनेडा,कास्टानेडा
111,lautis,लाउटिस,लउटिस
112,fatima,फतिमा,फातिमा
113,vimarshon,विमर्शों,विमर्शों
114,raktadaataaon,रक्ततादाओं,रक्तदाताओं
115,packageon,पैकेेजन,पैकेजों
116,boriwali,बोरीवाली,बोरीवली
117,bhuvneshvaprasad,भुवेशनवाप्रवस,भुवनेश्वप्रसाद
118,management,मानमेगेटे,मैनेजमेंट
119,seemaai,सीमाई,सीमाई
120,bhandara,भंडारा,भंडारा
121,just,जुस्ट,जस्ट
122,saflataa,सफलाता,सफ़लता
123,bijendrasinh,बिजेंद्रेशिह,बिजेन्द्रसिंह
124,maangeena,मांगीना,मांगीना
125,mamooli,ममूली,मामूली
126,mudichu,मुदिचु,मुडिचु
127,baithate,बैथते,बैठते
128,want,वांत,वांट
129,vaimanasya,वैमान्या,वैमनस्य
130,ghontanaa,घोंटाना,घोंटना
131,pardaa,परदा,पर्दा
132,jawabah,जवाबाह,जवाबः
133,kasegaa,कसेगा,कसेगा
134,faadi,फाड़ी,फाड़ी
135,jagaragallu,जगरालललल,जगारागल्लू
136,raidical,रैडिकल,रैडिकल
137,shalimar,शालीमर,शालीमार
138,jadd,जादद,जड़
139,akola,अकोला,अकोला
140,tadpatee,तापदेी,तड़पती
141,prakaashit,प्रकाषित,प्रकाषित
142,calumet,कलमलटट,कैल्यूमेट
143,surakshaah,सुरकाशाह,सुरक्षाः
144,badhaataa,बढ़ाता,बढ़ाता
145,rookenge,रूकेंगे,रूकेंगे
146,malegaon,मलेगानो,मालेगांव
147,paryaptta,पर्््््््ा,पर्याप्तता
148,gentry,जेंट्री,जेन्ट्री
149,vishwakarma,विश्वकर्मा,विश्वकर्मा
150,prawrutriyon,प्रा््रररिततों,प्रवृत्रियों
151,dealership,डीलरशिप,डीलरशिप
152,avru,अवरु,अवरु
153,krutyaa,क्रुत्या,कृत्या
154,svapnika,स्वापनिका,स्वप्निका
155,taapanee,तापनी,टापनी
156,manwaayaa,मनवाया,मनवाया
157,balkrishna,बाक्रिष्ण,बालकृष्ण
158,brahraachaarinee,ब्रहरचाचीरी,ब्रह्राचारिणी
159,chennai,चेननाई,चेन्नई
160,avranta,अवर््ाा,अवर्णता
161,santree,संत्री,संत्री
162,naamajadagee,नामाज़ज़ी,नामजदगी
163,nano,ननो,नैनो
164,mukabaale,मुकाबले,मुकबाले
165,menrajya,मेंरजाया,मेंराज्य
166,purooshottamachary,पुरोथ्त्ोप्रररर,पुरूषोत्तमाचार्य
167,kharuwaar,खरुवार,खरुवार
168,mandya,मंद्या,मांड्या
169,dharmagranthon,धर्माग्र्थों,धर्मग्रंथों
170,haashie,हाशी,हाशिए
171,haryana,हर्याना,हरयाणा
172,suraj,सुराज,सूरज
173,davenport,डैवनप्र्ट,डेवनपोर्ट
174,pahanate,पहनाते,पहनते
175,bharashtachaariyon,भारश्चायारियों,भरष्टाचारियों
176,bhaadas,भादास,भादस
177,chalenge,चेलेंग,चलेंगे
178,buddhijivon,बुद्धिििोंं,बुद्धिजीवों
179,khitaabon,खिताबों,खिताबों
180,sikhaaega,सिखागा,सिखाएगा
181,amara,अमारा,अमारा
182,epoklips,इपकोलप्स,एपोक्लिप्स
183,aswbhavik,अव्शभविक,अस्वभाविक
184,cup,कीआपप,कप
185,mahamantra,महमम्््र,महामंत्र
186,mahkane,महकने,महकने
187,anadhikaarik,अन्धिकारिक,अनाधिकारिक
188,sammpattiyaan,सम्प््तियां,संम्पत्तियां
189,harna,हर्ना,हारना
190,daubaaraa,दौबारा,दौबारा
191,lidaron,लिडारों,लीडरों
192,winter,विन्टर,विंटर
193,bahumaan,बहुमां,बहुमान
194,roanoke,रोनोके,रोनोक
195,plan,प्लान,प्लेन
196,ferth,फर्थ,फर्थ
197,gandhipura,गंधिपुरा,गांधीपुरा
198,pratishthaavaale,प्रतिशाववाले,प्रतिष्ठावाले
199,koraput,कुरापत,कोरापुट
200,gammat,गमममत,गम्मत
201,jhaugunj,झौगुंज,झाउगंज
202,dhona,धोना,धोना
203,jatatee,जतती,जताती
204,sendha,सेंधा,सेंधा
205,interactuality,इंटररक्यटलिटी,इंटरटेक्चुअलिटी
206,aurato,आरोत,औरतो
207,shulkah,शुलका,शुल्कः
208,nashik,नशिक,नाशिक
209,eshiyavan,अशियानव,एशियवन
210,chhelai,खेलाई,छेलै
211,palanpur,पलनपुर,पालनपुर
212,viraangnaaon,विरानगाओं,वीरांगनाओं
213,bindal,बिंदल,बिन्दल
214,intelligence,इंटेलिजेंस,इंटेलीजेंस
215,ijajat,जजात,इजाजत
216,prapti,प्रापती,प्राप्ती
217,varnit,वर्िि,वर्णित
218,trap,ट्राप,ट्रैप
219,dhanshyaam,धन्शयमम,धनश्याम
220,khaatedar,खाटेड़र,खातेदार
221,gaayikao,गायिकाओ,गायिकाओ
222,davindarpaal,दविदारपाल,दविन्दरपाल
223,thin,थीन,थींं
224,jangadnaa,जनगगड़ाा,जनगणना
225,aaufisaree,अफसीीर,ऑफिसरी
226,ikai,इकाई,इकाई
227,bhav,भवव,बहाव
228,neg,नेग,नेग
229,sahuuliyata,सहुलियता,सहूलियत
230,beesavaan,बीसान,बीसवां
231,adhik,अधिक,अधीक
232,wadaraa,वादारा,वदरा
233,gairarashtravaadee,गैरस्््रररवादे,गैरराष्ट्रवादी
234,outomaitically,ऑटटमलिकली,औटोमैटिकली
235,dastaanaa,दस्तााा,दस्ताना
236,anshaankan,अंशनककन,अंशांकन
237,suman,सुमान,सुमन
238,tevree,तेवरी,तेवरी
239,dootaay,दूताय,दूताय
240,yatraein,यातराएं,यात्राएं
241,bhaloo,भलू,भाालू
242,pranon,प्रनों,प्राणों
243,mysore,मायोरे,मैसोर
244,shaao,शाओ,शाओ
245,scaining,स्कैनिंग,स्कैनिंग
246,fargo,फारगो,फार्गो
247,ladhkiyon,लख्यकियों,लड़कियो
248,attraa,अत्तरा,अट्टरा
249,usi,उसी,उसी
250,najraane,नाजराने,नजराने
251,bhugta,भुगता,भुगता
252,lindon,लिंडों,लिंडन
253,seto,सेटो,सेटो
254,chidhate,छिताेे,चिढ़ते
255,rukwaakar,रुकवाकर,रुकवाकर
256,mitra,मितरा,मित्रा
257,wpd,एवपीडी,डब्ल्यूपीडी
258,jodhikaa,जोधिकाा,जोधिका
259,singam,सिंगम,सिंगम
260,anurit,अनुरित,अनुरीत
261,atthas,अत्थास,अट्टहास
262,tide,तिडे,टाइड
263,yamala,यमाला,यमला
264,sadanand,सदानंद,सदानंद
265,udar,उदरर,उदर
266,macias,मैसियास,मैकियास
267,upasthiyon,उपस्थियों,उपस्थियों
268,jodta,जोडता,जोड़ता
269,harvey,हर्वे,हार्वे
270,twitters,ट्विटर्स,ट्विटर्स
271,nivedanah,निवेेना,निवेदनः
272,safari,सफरी,सफारी
273,mahalon,महलों,महलों
274,jokhimabharaa,जोखीमाभारा,जोखिमभरा
275,pujapath,पुझात,पूजापाठ
276,badoo,बडू,बडू
277,mithilanchal,मिथिलांचल,मिथिलांचल
278,chuka,चुका,चौका
279,nanyaulaa,नन्याला,नन्यौला
280,vyaktigat,व्यक्तिगत,व्यक्तिगत
281,dhonaa,धोना,धोना
282,srichakra,श्रिकर्च,श्रीचक्र
283,dibnoo,दिबनू,डिबनू
284,chamchagiree,चमचाीगीरी,चमचागिरी
285,speshiyon,स्पाशियों,स्पेशियों
286,chhalla,छलला,छल्ला
287,saharsa,सहरसा,सहरसा
288,rollins,रोलिंस,रोलिंस
289,raykar,रायकर,राइकर
290,laamiyaan,लमियााँ,लामियां
291,dork,डॉर्क,डॉर्क
292,karyakaaryakartaon,कार्यक्यकार्ताओं,कार्यकार्यकर्ताओं
293,arunaai,अरुनाई,अरुणाई
294,baytown,बैटवों,बैटाउन
295,chuchiyaan,चुचियाँ,चूचियां
296,mimicry,मिमिक्री,मिमिक्री
297,jimme,जिममे,जिम्मे
298,aeronautics,इयरोनिसिक्स,एरोनॉटिक्स
299,jiya,जिया,जिया
300,vaiisan,वैसिन,वैइसन
301,jhanktaa,झंक्ता,झांकता
302,maulvidon,माल्डिवों,मौलवियों
303,lalmanee,ललमनी,लालमणी
304,jvaaron,ज्वारों,ज्वारों
305,aarekhah,अरेखह,आरेखः
306,montebello,मोटनेबेलो,मोंटेबेल्लो
307,rookvaai,रूकावा,रुकवाई
308,kuchchh,कुचचच,कुच्छ
309,hills,हिल्स,हील्स
310,noobiyaa,नूबिया,नूबिया
311,namkeen,नमकीन,नमकीन
312,lahanaa,लहाना,लहना
313,dikhaee,दिखाई,दिखाईं
314,baavadee,बावडी,बावडी
315,purooshottampur,पुरोष्ट्पुुपुर,पुरूषोत्तमपुर
316,kpada,क्पाडा,कपड़ा
317,hisaarah,हिसारह,हिसारः
318,vidhaaon,विधाओं,विद्याओं
319,barhad,बरहाद,बरहद
320,swatantrasingh,स्वतंत्रसंहिं,स्वतंत्रसिंह
321,agavai,अगावई,अगवाई
322,shat,शत,षट्
323,wirerless,विरेल्स,वायरलेस
324,wheeling,व्लीजिंग,व्हीलिंग
325,flint,फ्लिंट,फ्लिंट
326,widroop,विद्रूप,विद्रूप
327,gowmutra,गोम्््वतर,गौमूत्र
328,jyotishi,ज्योतिशी,ज्योतिषि
329,respecting,रेस्प्टिििं,रिस्पेक्टिंग
330,ghost,घोस्ट,घोस्ट
331,safaikarmi,साफाकररी,सफाईकर्मी
332,kamaljeet,कमलजीत,कमलजीत
333,mukaddamon,मुकड़मदों,मुकद्दमों
334,yoojee,यूजी,यूजी
335,aawajon,आवाजों,आवाज़ों
336,tripura,त्रिपुरा,त्रिपुरा
337,taraashakar,तराशकर,तराशकर
338,kide,कीडे,कीड़े
339,polishing,पोलिशिंग,पॉलिशिंग
340,spast,स्पास्ट,स्पस्ट
341,parichar,परिचार,परिचर
342,suryadev,सुर्येव,सूर्यदेव
343,jiyaangkou,जियांगकौ,जियांगकोऊ
344,jerusalem,जेरुसलम,यरूशलेम
345,avarnataa,अवर्ााा,अवर्णता
346,intaravyu,इंतरव्यु,इंटरव्यु
347,cooch,कूच,कूच
348,jivati,जिवती,जीवति
349,samajjanon,समजजननों,समाजजनों
350,huhtamaki,हुहाकमी,हुहतमाकी
351,nigar,निगर,निगर
352,nyutriyo,न्युत्रियो,न्यूट्रियो
353,orchha,ओरचच,ओरछा
354,bowling,बोलिंग,बाउलिंग
355,notebandishuda,नोतेबनेद्दा,नोटबंदीशुदा
356,khaatedaar,खाटेड़र,खातेदार
357,merta,मेर्टा,मेड़ता
358,bull,बुल्ल,बुल
359,ramraj,रामजा,रामराज
360,kamjor,कमोजर,कमज़ोर
361,bombi,बोमबी,बांबी
362,raunakh,रौनख,रौनक़
363,labdh,लब्ध,लब्ध
364,kaathalaa,काथला,काथला
365,anupryogon,अन्प्रोगों,अनुप्रयोगों
366,salary,सालरी,सैलरी
367,deewani,दीवानी,दिवानी
368,purnsveekrit,पुर्वनकृषित,पुर्नस्वीकृत
369,nights,निघट्स,नाइट्रस
370,tuth,तुथ,ट्रुथ
371,jaayke,जाके,जायके
372,silva,सिलवा,सिल्वा
373,shrankhala,श्राखंला,श्रंखला
374,ataher,अतहेर,अतहर
375,denevali,देनेवली,देनेवाली
376,beechbachaav,बीचााचा,बीचबचाव
377,mahasinh,महासिह,महासिंह
378,prawrittiyon,प्रवित्तियोंं,प्रवृत्तीयों
379,haito,हैटो,हैतो
380,suba,सुबा,सूबा
381,mue,मूए,मुऐ
382,hercules,हर्कल्स,हरक्यूलिस
383,jhuthalane,झुठलने,झुठलाने
384,missouri,मिसोौरी,मिसौरी
385,danptiyon,डांपिययों,दंपतियों
386,baripada,बरीपाड़ा,बारिपदा
387,galaega,गलाएगा,गलाएगा
388,mishra,मिश्रा,मिश्रा
389,donaldson,डोलांडोन,डोनल्डसन
390,letaseng,लेटेसंग,लेटसेंग
391,hempstead,हेम्पट्साइ,हेम्प्सटेड
392,makhdumpur,मकुधुपुर,मखदुमपुर
393,samprbhuta,सम्््रप्त,संप्रभुता
394,hines,हिनेस,हाइंस
395,higman,हिगमन,हाइमन
396,jajmau,जामजा,जाजमऊ
397,tyoiharon,ट्योहिरों,त्यौहारों
398,distreebyootaree,डिस्ट्रेबूटीयी,डिस्ट्रीब्यूटरी
399,vanaspatiyaan,नावप्तियां,वनस्पतियाँ
400,shaavakon,शावकों,शावकों
401,microfiber,मिइक्रोफरिय,माइक्रोफाइबर
402,praansangalee,प्रांगसाली,प्राणसंगली
403,tolakarmee,तोलक्रमी,टोलकर्मी
404,oodhami,उमधी,ऊधामी
405,education,इड्यूशन,एजुकेशन
406,vangchuk,नाध्ोकक,वांगचुक
407,dampatiyon,डापमियों,दंपतियों
408,kanchan,कंचन,कंचन
409,buddharam,बुद्धराम,बुद्धाराम
410,avi,आवी,अवि
411,mariyo,मारियो,मारियो
412,columbia,कोमलुबिया,कोलंबिया
413,pitts,पिट्ट,पिट्स
414,augustustine,उजसुस्तिन्त,अगस्टाइन
415,balty,बाल्टी,बाल्टी
416,hamalavar,हमलवरर,हमलावर
417,mahamanch,महममच,महामंच
418,sthitiyan,स्थितियां,स्थितियां
419,activities,एक्टियाइट,ऐक्टिविटीज
420,ambani,अमबबनी,अम्बानी
421,precision,प्रिसिशन,प्रिसिशन
422,baksa,बक्सा,बक्सा
423,depthiriya,देप्थिरिया,डिप्थीरिया
424,durghtna,दुर्घ्ना,दुर्घटना
425,mukhyamantri,मुख्यमंत्री,मुख्यमंत्री
426,niswarth,निस्वर्थ,निस्वार्थ
427,stain,स्टान,स्टैन
428,sudhaargrah,सुधारगढ़,सुधारगृह
429,purvaasiyon,पुर्वसियों,पुरवासियों
430,varsted,वर्स्टेड,वर्स्टेड
431,mulon,मुलों,मूलों
432,paradheen,पराधीन,पराधीन
433,crawford,क्रेफोर्ड,क्रोफोर्ड
434,rectare,रिक्टरे,रैकेटियर
435,badhachadhakar,बढ़चचारद,बढ़ाचढ़ाकर
436,gabalee,गबली,गबली
437,vankshetra,वंक्षेत्र,वनक्षेत्र
438,ropi,रोपी,रोपी
439,bachti,बच्ती,बचती
440,patrani,पत्रनी,पटरानी
441,high,हिघ,हाई
442,bhen,भेन,भें
443,devi,देवी,देवी
444,chhupata,छुपता,छुपता
445,fijulkharchi,फिजलखुरचची,फिजूलखर्ची
446,robertsan,रोबेट्सन,रॉबर्टसन
447,westwork,वेस्ट्वर्क,वेस्टवर्क
448,manovaigyaaniyon,मनोवियांगियोंं,मनोवैज्ञानियों
449,talkshow,ताल्क्वो,टॉकशो
450,neemkathana,नीमकाथा,नीमकाथाना
451,failaiya,फैलैया,फैलाइए
452,pratigya,प्रतियग्या,प्रतिज्ञा
453,gangtok,गंगोटक,गंगटोक
454,pakayen,पाकें,पकाएं
455,nihsandeh,निनुहेदे,निःसंदेह
456,ghataaegi,घटाागी,घटाएगी
457,deccan,डेक्सन,डेक्कन
458,ambikaaon,अम्बिकाओं,अम्बिकाओं
459,byaawa,ब्यावा,ब्यावर
460,phoolatee,फूलती,फूलती
461,udaygadhi,उदागाधी,उदयगढ़ी
462,deshkal,देशकल,देशकाल
463,svayamswikrat,स्वावस््तिकर्,स्वयंस्वीकृत
464,ladaaiyon,लाडायों,लड़ाईयों
465,beeemdablyooem,बिमेड्यूबीज,बीएमडब्ल्यूएम
466,badabadee,बदबाड़ी,बडबडी
467,jvar,ज्वर,ज्वार
468,somwaar,सोमवार,साेमवार
469,mehaman,मेहमन,मेहमान
470,nagpur,नागपुर,नागपुर
471,isnpector,इस्नपटेटर,इस्न्पेक्टोर
472,asfalt,अस्फेट,एस्फाल्ट
473,jivaniyaan,जिविनायां,जीवनियां
474,pahnaakar,पहनाकर,पहनाकर
475,rajnitikaron,राजिनितकरों,राजनीतिकारों
476,tareeko,तरिको,तरीको
477,tivolee,तिवोली,टिवोली
478,shipping,शिप्पिंग,शिपिंग
479,roopesh,रूपेश,रुपेश
480,dhammaa,धममाा,धम्मा
481,protects,प्रोटेक्ट्स,प्रोटेक्ट्स
482,ware,वेर,वेयर
483,lekhakganon,लेखाड़ोों,लेखकगणों
484,swanson,स्वांसों,स्वानसन
485,badhanaa,बढ़ाना,बढना
486,sanyuktawastha,सा््वसुक्तताा,संयुक्तावस्था
487,enseeaardablyusee,इन्साररबाल्यीज,एनसीआरडब्ल्यूसी
488,mta,मती,एमटीए
489,chitrakathaa,चित्रकाथा,चित्रकथा
490,sanvedikaran,संवेदीकरण,संवेदीकरण
491,lokpratinidhiyon,लोक्परििध्यियों,लोकप्रतिनिधियों
492,ghumaaee,घुमाई,घुमाई
493,wasting,वास्टिंग,वेस्टिंग
494,ninties,निनिट्स,नाइनटीज
495,surendranagar,सुरेंददररर,सुरेंद्रनगर
496,atlantic,अटल्टिकिक,अटलांटिक
497,tulshidas,तुलिस्दा,तुलसीदास
498,pereddy,पेरेडडी,पेरेड्डी
499,pidiya,पिडिया,पीडिया
500,tungnath,तुंगबाथ,तुंगनाथ
501,muflisi,मुलफिसी,मुफलिसी
502,aakaash,आकाश,आकाश
503,mugaalataa,मुगालाता,मुगालता
504,qazi,काजी,काजी
505,chayal,चालय,चायल
506,suction,स्क्यून,सक्शन
507,eyarkandeeshnar,आराक्षें््र,एयरकंडीशनर
508,jodhika,जोधिका,जोधिका
509,uttra,उत्त्रा,उत्तरा
510,vasoolataa,वासुलाता,वसूलता
511,garud,गरुु,गरुड़
512,yari,यारी,यारी
513,suchikitsaa,सिक्षिचाता,सुचिकित्सा
514,vidyaayein,विद्याें,विद्याएं
515,koling,कोलिंग,कोलिंग
516,lohati,लोहती,लोहाती
517,montgomery,मोंटोग्रीम,मोंटगोमरी
518,mantriyonke,मंत्रियोंके,मंत्रियोंके
519,halla,हल्ला,हल्ला
520,khambhat,खम्भत,खंभात
521,peck,पेक,पेक
522,pendulum,पेंडुलुम,पेंडुलम
523,mahamantr,महमम्त्र,महामंत्र
524,jadet,जेदत,जड़ित
525,arica,आरिका,एरिका
526,benvar,बेनवर,बेंवर
527,guduri,गुदुरी,गुदुरी
528,kaabiletaarif,कालीबेटररिक,काबिलेतारीफ
529,janjagran,जगन्जराण,जनजागरण
530,kaathiyavadee,काठियावी,काठियावड़ी
531,jiangkou,जियंगोका,जियांगकोऊ
532,chacchaa,चच्चा,चच्चा
533,agrahari,अग्रहरी,अग्रहरि
534,jivan,जिवन,जीवन
535,bidar,बिदर,बीदर
536,ambikapur,अंबीकापुर,अम्बिकापुर
537,karaboriyon,कारोबियोों,काराबोरियों
538,neuroscientists,नोयरस्क्मिसिस्ट,न्यूरोसाइंटिस्ट्स
539,selfie,सेल्फी,सेल्फी
540,pakshapat,पक्षपत,पक्षपात
541,clair,क्लाइर,क्लेयर
542,sandhol,संधोल,संधोल
543,dejesus,डेजेस,डिजीसस
544,pradarshan,प्रदाश्न,प्रर्दशन
545,shield,शिल्ड,सील्ड
546,brahmleen,ब्रहमलीन,ब्रह्मलीन
547,stimberwala,स्टिबररवाला,स्टिम्बेरवाला
548,mukarte,मुकरते,मुकरते
549,shakhayen,शखायें,शाखाएं
550,anhoni,अनोहनी,अनहोनी
551,sundram,सुं्रदम,सुंदरम
552,warner,वर्नर,वार्नर
553,lincoln,लिनकलोन,लिंगकन
554,churu,चुरू,चूरू
555,aise,एईसीए,ऐसे
556,evening,इवनिंग,ईवनिंग
557,module,मोडुले,मॉड्यूल
558,vigyaanam,विज्ञाम,विज्ञानम
559,asmitaon,अस्मिताओं,अस्मिताओं
560,ishaak,आशाक,इशाक
561,vesle,वेस्ले,वेस्ले
562,pehan,पेहन,पहन
563,wealth,व्यल्थ,वेल्थ
564,pulama,पुलामा,पुलमा
565,azoospermia,अज़प्स्रर्यय,एजूस्पर्मिया
566,angadh,अंगढ़,अनगढ़
567,munaf,मुनफ,मुनाफ
568,chipakane,चिपकने,चिपकने
569,poorwottar,पोर्वट्रर,पूर्वाेत्तर
570,yallaappaa,लाल्यपपा,यल्लाप्पा
571,arthavyawasthataaon,अर्थव््याल््ताओओं,अर्थव्यवस्थताओं
572,darawani,दरवानी,डरावनी
573,shivamogga,शिवागोगा,शिवमोगा
574,prakriyagat,प्रक्रियतत,प्रक्रियागत
575,najariyon,नाजरियों,नजरियों
576,shamtal,शम्तल,शमलात
577,kandrour,कं्डररर,कंदरौर
578,kualalampoor,कुलाप्ुुर,कुआलालंपूर
579,sanskariyon,संस्करियों,संस्कारियों
580,firmian,फिर्मियन,फर्मिऑन
581,anvaahaarya,अनवाहर्या,अन्वाहार्य
582,khammam,खमममम,खम्मम
583,stephens,स्पेथेंस,स्टीफेंस
584,luis,ल्यूस,लुईस
585,mate,मते,मेट
586,tapia,तापिया,तापीया
587,niyuttiyon,नियुत्तियों,नियुत्तियों
588,merraige,मेराइजे,मैरेज
589,shaishav,शशाव,शैशव
590,bhasapa,भसापा,भासपा
591,umadatee,उमादती,उमड़ती
592,nishra,निश्रा,निश्रा
593,maisore,मैसोर,मैसोर
594,chhetthari,छेत्थरी,छेत्री
595,amaanat,माानत,अमानत
596,sujhati,सुझाती,सुझाती
597,kavyavidhaaon,कववियाधाओं,काव्यविधाओं
598,sutali,सुतली,सुतली
599,tanu,तानू,तनु
600,grahanakaal,ग्राहाकाल,ग्रहणकाल
601,bonds,बॉंड्स,बॉंन्ड्स
602,viratkhand,विरताखंड,विराटखंड
603,poonjitantra,पंज्तिंत्र,पूंजीतंत्र
604,shringaar,श्रिंगा,शृंगार
605,raghuram,रघुरम,रघुराम
606,pidilite,पिडिलिटे,पीडीलाइट
607,sukadiyaal,सुकाडियाल,सुकडि़याल
608,pick,पीआईकी,पिक
609,tikone,तिकोने,तिकोने
610,jagtap,जगतपा,जगताप
611,maurya,मौर्या,मौर्यों
612,policy,पोलिसी,पालिसी
613,fincorp,फिनकर्प,फिनकॉर्प
614,bouni,बूनी,बौनी
615,ganjhoo,गंझू,गंझू
616,shreneeh,श्रेनी,श्रेणीः
617,vadali,वाडली,वडाली
618,csi,सीसीआई,सीएसआई
619,independence,इंडेपेंडेंस,इंडिपेंडेंस
620,half,हल्फ,हॉफ
621,indaurnagar,इंदारोगनर,इंदौरनगर
622,ocoee,ओकीय,ओकोई
623,aisa,आईसीए,एेसा
624,cruces,स्कर्स,क्रुसेस
625,bhagane,भगने,भगाने
626,dhiryawaan,धिर्यावन,धैर्यवान
627,packagon,पकााों,पैकेजों
628,dhoron,धोरों,धोरों
629,bakhshane,बशखेन,बख्शने
630,patachep,पटाचे,पटाक्षेप
631,mazboori,मजबूरी,मज़बूरी
632,racer,रेस,रेसर
633,navanagar,नवानगर,नवानगर
634,visheshagyataon,विश्येशायतां,विशेषज्ञताओं
635,laalmanee,ललममीन,लालमणी
636,jaatakon,जातकों,जातकों
637,dushwariyon,दुश्वरियों,दुश्वारियों
638,yusugi,युसुगी,युसूगी
639,dhokebaaj,ढोकेबा,धोखेबाज
640,artemis,अर्टिमिस,आर्टेमिस
641,sajsajja,सजजजजा,साजसज्जा
642,attraikt,अट्टररिकट,अट्रैक्ट
643,waan,वान,वाण
644,divyata,दिव्यता,दिव्यता
645,kochchih,कोचचची,कोच्चिः
646,angelo,अंगेलो,एंजेलो
